Group,District,DistName,County,CntyName,Region,RegnName,ERW,Math,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,057832,Alpha Charter School,057,Dallas County,10,Richardson,400,438,838,<25,<25,,<25,
All Students,057834,Evolution Academy Charter School,057,Dallas County,10,Richardson,474,440,914,<275,<25,8.8,<25,
All Students,057840,Richland Collegiate High School,057,Dallas County,10,Richardson,560,549,1109,300,264,88.0,80,30.3
All Students,057845,Ume Preparatory Academy,057,Dallas County,10,Richardson,560,556,1116,<25,<25,87.0,<25,35.0
All Students,057846,Legacy Preparatory,057,Dallas County,10,Richardson,470,495,965,<25,<25,,<25,
All Students,057848,International Leadership Of Texas,057,Dallas County,10,Richardson,533,568,1101,80,97,100,38,39.2
All Students,057903,Carrollton-Farmers Branch ISD,057,Dallas County,10,Richardson,529,530,1058,1597,912,57.1,215,23.6
All Students,057904,Cedar Hill ISD,057,Dallas County,10,Richardson,506,490,996,594,335,56.4,40,11.9
All Students,057905,Dallas ISD,057,Dallas County,10,Richardson,460,461,921,7685,7508,97.7,637,8.5
All Students,057906,Desoto ISD,057,Dallas County,10,Richardson,449,436,885,733,677,92.4,24,3.5
All Students,057907,Duncanville ISD,057,Dallas County,10,Richardson,482,460,943,945,600,63.5,36,6.0
All Students,057909,Garland ISD,057,Dallas County,10,Richardson,488,482,970,3977,3737,94.0,531,14.2
All Students,057910,Grand Prairie ISD,057,Dallas County,10,Richardson,469,470,938,1870,1673,89.5,179,10.7
All Students,057911,Highland Park ISD,057,Dallas County,10,Richardson,652,656,1309,517,269,52.0,212,78.8
All Students,057912,Irving ISD,057,Dallas County,10,Richardson,460,462,922,2280,1982,86.9,159,8.0
All Students,057913,Lancaster ISD,057,Dallas County,10,Richardson,452,440,892,<425,<200,43.9,<25,1.6
All Students,057914,Mesquite ISD,057,Dallas County,10,Richardson,494,488,981,2565,1354,52.8,146,10.8
All Students,057916,Richardson ISD,057,Dallas County,10,Richardson,558,560,1118,2124,1102,51.9,421,38.2
All Students,057919,Sunnyvale ISD,057,Dallas County,10,Richardson,579,575,1154,122,85,69.7,35,41.2
All Students,057922,Coppell ISD,057,Dallas County,10,Richardson,619,631,1249,895,605,67.6,390,64.5
All Students,058906,Lamesa ISD,058,Dawson County,17,Lubbock,450,450,897,<150,<25,2.3,<25,
All Students,058909,Sands CISD,058,Dawson County,17,Lubbock,,,,<25,<25,7.1,<25,100
