Group,District,DistName,County,CntyName,Region,RegnName,Students_Mskd,Exnees_Mskd,Part_Rate,Exnees_Crit_Mskd,Exnees_Above_Crit_Rate,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All Students,077901,Floydada ISD,077,Floyd County,17,Lubbock,<125,<25,1.0,<25,,<25,<25,
All Students,077902,Lockney ISD,077,Floyd County,17,Lubbock,<75,<25,9.2,<25,66.7,<25,<25,50.0
All Students,078901,Crowell ISD,078,Foard County,09,Wichita Falls,<25,<25,4.5,<25,100,<25,<25,20.0
All Students,079901,Lamar CISD,079,Fort Bend County,04,Houston,3688,1005,27.3,569,56.6,2425,1259,51.9
All Students,079906,Needville ISD,079,Fort Bend County,04,Houston,404,46,11.4,32,69.6,70,44,62.9
All Students,079907,Fort Bend ISD,079,Fort Bend County,04,Houston,10976,3546,32.3,2454,69.2,10547,6678,63.3
All Students,079910,Stafford MSD,079,Fort Bend County,04,Houston,471,44,9.3,14,31.8,66,20,30.3
All Students,080901,Mount Vernon ISD,080,Franklin County,08,Mt Pleasant,<200,<50,13.7,<25,11.1,<50,<25,10.0
All Students,081902,Fairfield ISD,081,Freestone County,12,Waco,234,34,14.5,9,26.5,41,10,24.4
All Students,081904,Teague ISD,081,Freestone County,12,Waco,179,53,29.6,6,11.3,86,8,9.3
All Students,082903,Pearsall ISD,082,Frio County,20,San Antonio,<300,<25,1.4,<25,75.0,9,6,66.7
All Students,083903,Seminole ISD,083,Gaines County,17,Lubbock,<325,<25,0.3,<25,,<25,<25,
All Students,084901,Dickinson ISD,084,Galveston County,04,Houston,1249,189,15.1,78,41.3,369,152,41.2
All Students,084902,Galveston ISD,084,Galveston County,04,Houston,949,179,18.9,70,39.1,371,109,29.4
All Students,084906,Texas City ISD,084,Galveston County,04,Houston,880,129,14.7,33,25.6,218,46,21.1
All Students,084909,Santa Fe ISD,084,Galveston County,04,Houston,710,82,11.5,28,34.1,117,36,30.8
All Students,084910,Clear Creek ISD,084,Galveston County,04,Houston,6119,1815,29.7,1279,70.5,4188,2764,66.0
All Students,084911,Friendswood ISD,084,Galveston County,04,Houston,1093,368,33.7,319,86.7,1118,839,75.0
All Students,085902,Post ISD,085,Garza County,17,Lubbock,<125,<25,9.0,<25,10.0,<25,<25,10.0
All Students,086901,Fredericksburg ISD,086,Gillespie County,13,Austin,475,104,21.9,61,58.7,230,117,50.9
All Students,086902,Harper ISD,086,Gillespie County,13,Austin,<125,<25,3.0,<25,,<25,<25,
All Students,087901,Glasscock County ISD,087,Glasscock County,18,Midland,<50,<25,2.1,<25,,<25,<25,
All Students,088902,Goliad ISD,088,Goliad County,03,Victoria,200,12,6.0,5,41.7,18,6,33.3
All Students,089901,Gonzales ISD,089,Gonzales County,13,Austin,324,23,7.1,10,43.5,30,12,40.0
