Group,District,DistName,cntyname,RegnName,REGION,Exnees_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Exnees_Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All students,188902,River Road ISD,Potter County,Amarillo,16,,,191,<5,<5,<5,<5,
All students,188903,Highland Park ISD,Potter County,Amarillo,16,,,103,<10,<5,<10,<5,
All students,188904,Bushland ISD,Potter County,Amarillo,16,33.3,13.6,177,24,8,<30,8,
All students,189902,Presidio ISD,Presidio County,Midland,18,,31.1,209,65,<40,102,37,36.3
All students,190903,Rains ISD,Rains County,Kilgore,07,,,236,<5,<5,<5,<5,
All students,191901,Canyon ISD,Randall County,Amarillo,16,61.6,10.1,1242,125,77,195,110,56.4
All students,193902,Leakey ISD,Real County,San Antonio,20,,27.3,33,9,<5,12,<10,
All students,194902,Avery ISD,Red River County,Mt Pleasant,08,,9.9,71,7,<5,11,<5,
All students,194903,Rivercrest ISD,Red River County,Mt Pleasant,08,,,96,<5,<5,<5,<5,
All students,194905,Detroit ISD,Red River County,Mt Pleasant,08,,,69,<5,<5,<5,<5,
All students,196902,Woodsboro ISD,Refugio County,Victoria,03,,,64,<5,<5,<5,<5,
All students,196903,Refugio ISD,Refugio County,Victoria,03,,12.2,98,12,<5,22,<5,
All students,198901,Bremond ISD,Robertson County,Huntsville,06,,25,52,13,<5,16,<5,
All students,198903,Franklin ISD,Robertson County,Huntsville,06,69.2,18.4,141,26,18,38,24,63.2
All students,198906,Mumford ISD,Robertson County,Huntsville,06,,,54,<5,<5,<5,<5,
All students,199901,Rockwall ISD,Rockwall County,Richardson,10,65.9,36.1,2029,733,483,1567,911,58.1
All students,199902,Royse City ISD,Rockwall County,Richardson,10,40.2,22.8,558,127,51,271,78,28.8
All students,201902,Henderson ISD,Rusk County,Kilgore,07,53.3,3.9,387,15,8,26,10,38.5
All students,201908,Overton ISD,Rusk County,Kilgore,07,,16.9,77,13,<5,13,<5,
All students,201913,Carlisle ISD,Rusk County,Kilgore,07,,5.6,89,5,<5,6,<5,
All students,204901,Coldspring-Oakhurst CISD,San Jacinto County,Huntsville,06,40,17.2,261,45,18,114,27,23.7
All students,204904,Shepherd ISD,San Jacinto County,Huntsville,06,,3.1,227,7,<5,11,<5,
All students,205901,Aransas Pass ISD,San Patricio County,Corpus Christi,02,,12,216,26,<5,39,<5,
All students,205902,Gregory-Portland ISD,San Patricio County,Corpus Christi,02,48,16.6,616,102,49,177,69,39
All students,205904,Mathis ISD,San Patricio County,Corpus Christi,02,7.5,34.8,230,80,6,142,6,4.2
All students,205905,Odem-Edroy ISD,San Patricio County,Corpus Christi,02,,16.9,136,23,<5,23,<5,
All students,205906,Sinton ISD,San Patricio County,Corpus Christi,02,13.3,40.8,277,113,15,167,16,9.6
All students,205907,Taft ISD,San Patricio County,Corpus Christi,02,,11.5,130,15,<5,15,<5,
All students,208902,Snyder ISD,Scurry County,Abilene,14,,7.2,319,23,<5,29,<5,
All students,208903,Ira ISD,Scurry County,Abilene,14,,,31,<5,<5,<10,<5,
All students,210903,Shelbyville ISD,Shelby County,Kilgore,07,,13.6,81,11,<5,11,<5,
All students,210905,Timpson ISD,Shelby County,Kilgore,07,,17.1,82,14,<5,14,<5,
All students,212901,Arp ISD,Smith County,Kilgore,07,,,137,<5,<5,<5,<5,
All students,212902,Bullard ISD,Smith County,Kilgore,07,70,7.2,277,20,14,24,16,66.7
All students,212903,Lindale ISD,Smith County,Kilgore,07,36.5,10.2,509,52,19,62,22,35.5
All students,212904,Troup ISD,Smith County,Kilgore,07,,,149,<5,<5,<5,<5,
All students,212905,Tyler ISD,Smith County,Kilgore,07,46.7,18.9,2026,383,179,940,373,39.7
All students,212906,Whitehouse ISD,Smith County,Kilgore,07,71.6,11.7,635,74,53,125,81,64.8
All students,212909,Chapel Hill ISD,Smith County,Kilgore,07,25,7.9,456,36,9,50,11,22
All students,213901,Glen Rose ISD,Somervell County,Fort Worth,11,41.4,10.9,267,29,12,30,13,43.3
All students,214901,Rio Grande City CISD,Starr County,Edinburg,01,18.9,12.1,1351,164,31,236,42,17.8
All students,214903,Roma ISD,Starr County,Edinburg,01,27.5,17.5,813,142,39,266,<60,
All students,218901,Sonora ISD,Sutton County,San Angelo,15,,,118,<15,<5,<15,<5,
All students,220801,Treetops School International,Tarrant County,Fort Worth,11,,,20,<5,<5,8,<5,
All students,220809,Fort Worth Academy Of Fine Arts,Tarrant County,Fort Worth,11,41.4,56.3,103,58,24,101,28,27.7
All students,220810,Westlake Academy Charter School,Tarrant County,Fort Worth,11,82.1,38.4,73,28,23,<90,<60,
All students,220813,Harmony Science Acad (Fort Worth),Tarrant County,Fort Worth,11,53.1,62.8,78,49,26,82,40,48.8
All students,220901,Arlington ISD,Tarrant County,Fort Worth,11,49.7,16.2,7687,1242,617,2584,1121,43.4
All students,220902,Birdville ISD,Tarrant County,Fort Worth,11,54.9,31.5,2995,944,518,2147,1023,47.6
All students,220904,Everman ISD,Tarrant County,Fort Worth,11,,22.7,528,120,<5,176,<5,
